Data,Vazao
2023-04-27 20:00:00,718413742.0
2023-04-28 00:00:00,814906981.0
2023-04-28 04:00:00,939002202.0
2023-04-28 08:00:00,910945364.5
2023-04-28 12:00:00,892864472.0
2023-04-28 16:00:00,
2023-04-28 20:00:00,896148667.0
2023-04-29 00:00:00,943498215.0
2023-04-29 04:00:00,938123612.0
2023-04-29 08:00:00,922805524.0
2023-04-29 12:00:00,757297557.0
2023-04-29 16:00:00,924583690.0
2023-04-29 20:00:00,803735111.0
2023-04-30 00:00:00,882163333.0
2023-04-30 04:00:00,
2023-04-30 08:00:00,
2023-04-30 12:00:00,870319428.0
2023-04-30 16:00:00,922714631.0
2023-04-30 20:00:00,925176069.5
2023-05-01 00:00:00,900407044.5
2023-05-01 04:00:00,924857419.0
2023-05-01 08:00:00,932998348.5
2023-05-01 12:00:00,603119309.0
2023-05-01 16:00:00,904240039.5
2023-05-01 20:00:00,913261232.5
2023-05-02 00:00:00,902070426.5
2023-05-02 04:00:00,849427722.0
2023-05-02 08:00:00,
2023-05-02 12:00:00,765856295.0
2023-05-02 16:00:00,878185702.5
2023-05-02 20:00:00,
2023-05-03 00:00:00,
2023-05-03 04:00:00,924321546.0
2023-05-03 08:00:00,926418841.0
2023-05-03 12:00:00,
2023-05-03 16:00:00,901494003.0
2023-05-03 20:00:00,
2023-05-04 00:00:00,719039479.0
2023-05-04 04:00:00,
2023-05-04 08:00:00,
2023-05-04 12:00:00,
2023-05-04 16:00:00,
2023-05-04 20:00:00,938474393.0
2023-05-05 00:00:00,909117710.0
2023-05-05 04:00:00,886396536.5
2023-05-05 08:00:00,922619835.0
2023-05-05 12:00:00,877760258.0
2023-05-05 16:00:00,910357965.0
2023-05-05 20:00:00,862718010.0
2023-05-06 00:00:00,
2023-05-06 04:00:00,927905196.0
2023-05-06 08:00:00,
2023-05-06 12:00:00,919358066.5
2023-05-06 16:00:00,
2023-05-06 20:00:00,913244125.0
2023-05-07 00:00:00,772178483.5
2023-05-07 04:00:00,938410863.0
2023-05-07 08:00:00,
2023-05-07 12:00:00,
2023-05-07 16:00:00,
2023-05-07 20:00:00,
2023-05-08 00:00:00,936904201.0
2023-05-08 04:00:00,938001415.0
2023-05-08 08:00:00,890767048.0
2023-05-08 12:00:00,925893996.0
2023-05-08 16:00:00,
2023-05-08 20:00:00,913901588.0
2023-05-09 00:00:00,924794392.0
2023-05-09 04:00:00,818654663.0
2023-05-09 08:00:00,900729261.0
2023-05-09 12:00:00,838102165.5
2023-05-09 16:00:00,930821792.5
2023-05-09 20:00:00,722620619.0
2023-05-10 00:00:00,939001732.0
2023-05-10 04:00:00,887137048.0
2023-05-10 08:00:00,904348733.0
2023-05-10 12:00:00,
2023-05-10 16:00:00,926323571.0
2023-05-10 20:00:00,
2023-05-11 00:00:00,910269525.0
2023-05-11 04:00:00,896320536.5
2023-05-11 08:00:00,
2023-05-11 12:00:00,
2023-05-11 16:00:00,926311806.5
2023-05-11 20:00:00,
2023-05-12 00:00:00,
2023-05-12 04:00:00,926502877.0
2023-05-12 08:00:00,874480346.0
2023-05-12 12:00:00,
2023-05-12 16:00:00,
2023-05-12 20:00:00,851190122.0
2023-05-13 00:00:00,
2023-05-13 04:00:00,858405110.5
2023-05-13 08:00:00,911857883.5
2023-05-13 12:00:00,925856165.5
2023-05-13 16:00:00,
2023-05-13 20:00:00,887965130.5
2023-05-14 00:00:00,
2023-05-14 04:00:00,925489234.0
2023-05-14 08:00:00,860678119.0
2023-05-14 12:00:00,923430347.0
2023-05-14 16:00:00,925418851.0
2023-05-14 20:00:00,939192242.0
2023-05-15 00:00:00,929092483.0
2023-05-15 04:00:00,886338384.3333334
2023-05-15 08:00:00,891580346.5
2023-05-15 12:00:00,804298397.0
2023-05-15 16:00:00,923010639.0
2023-05-15 20:00:00,874863083.5
2023-05-16 00:00:00,906933895.0
2023-05-16 04:00:00,880003983.3333334
2023-05-16 08:00:00,
2023-05-16 12:00:00,
