Data,Vazao
2023-04-27 20:00:00,926943315.0
2023-04-28 00:00:00,879232031.0
2023-04-28 04:00:00,878181697.0
2023-04-28 08:00:00,921703419.0
2023-04-28 12:00:00,903872466.0
2023-04-28 16:00:00,918290893.0
2023-04-28 20:00:00,914360969.0
2023-04-29 00:00:00,905972019.0
2023-04-29 04:00:00,924583340.5
2023-04-29 08:00:00,
2023-04-29 12:00:00,893648774.0
2023-04-29 16:00:00,911216714.0
2023-04-29 20:00:00,
2023-04-30 00:00:00,928514233.0
2023-04-30 04:00:00,908068406.5
2023-04-30 08:00:00,
2023-04-30 12:00:00,
2023-04-30 16:00:00,900729846.0
2023-04-30 20:00:00,
2023-05-01 00:00:00,912001961.0
2023-05-01 04:00:00,
2023-05-01 08:00:00,904131801.5
2023-05-01 12:00:00,921697520.0
2023-05-01 16:00:00,891816875.0
2023-05-01 20:00:00,
2023-05-02 00:00:00,880280828.0
2023-05-02 04:00:00,904659074.0
2023-05-02 08:00:00,
2023-05-02 12:00:00,904136626.5
2023-05-02 16:00:00,906758072.0
2023-05-02 20:00:00,
2023-05-03 00:00:00,928252146.5
2023-05-03 04:00:00,899419206.5
2023-05-03 08:00:00,
2023-05-03 12:00:00,916718018.0
2023-05-03 16:00:00,892863490.0
2023-05-03 20:00:00,923264382.0
2023-05-04 00:00:00,898107058.0
2023-05-04 04:00:00,
2023-05-04 08:00:00,894435149.0
2023-05-04 12:00:00,898892760.0
2023-05-04 16:00:00,
2023-05-04 20:00:00,911912442.3333334
2023-05-05 00:00:00,921175766.0
2023-05-05 04:00:00,924321130.0
2023-05-05 08:00:00,911213785.0
2023-05-05 12:00:00,920651062.0
2023-05-05 16:00:00,893387779.0
2023-05-05 20:00:00,878707478.0
2023-05-06 00:00:00,918554302.0
2023-05-06 04:00:00,870055236.5
2023-05-06 08:00:00,
2023-05-06 12:00:00,923009599.5
2023-05-06 16:00:00,900990896.5
2023-05-06 20:00:00,
2023-05-07 00:00:00,907018092.0
2023-05-07 04:00:00,923535859.5
2023-05-07 08:00:00,
2023-05-07 12:00:00,912785499.0
2023-05-07 16:00:00,911999661.5
2023-05-07 20:00:00,
2023-05-08 00:00:00,876613086.0
2023-05-08 04:00:00,
2023-05-08 08:00:00,882902801.0
2023-05-08 12:00:00,907020202.0
2023-05-08 16:00:00,900464186.0
2023-05-08 20:00:00,
2023-05-09 00:00:00,902825335.0
2023-05-09 04:00:00,899155853.0
2023-05-09 08:00:00,920651062.0
2023-05-09 12:00:00,926418424.0
2023-05-09 16:00:00,891815537.0
2023-05-09 20:00:00,
2023-05-10 00:00:00,891814646.0
2023-05-10 04:00:00,922222499.0
2023-05-10 08:00:00,880281488.0
2023-05-10 12:00:00,885000135.0
2023-05-10 16:00:00,902903565.0
2023-05-10 20:00:00,
2023-05-11 00:00:00,887568841.0
2023-05-11 04:00:00,909431027.5
2023-05-11 08:00:00,
2023-05-11 12:00:00,911582553.0
2023-05-11 16:00:00,894332135.5
2023-05-11 20:00:00,890348597.0
2023-05-12 00:00:00,902509679.0
2023-05-12 04:00:00,901645460.5
2023-05-12 08:00:00,907963919.5
2023-05-12 12:00:00,
2023-05-12 16:00:00,900726829.0
2023-05-12 20:00:00,873203759.0
2023-05-13 00:00:00,895486321.0
2023-05-13 04:00:00,893284627.5
2023-05-13 08:00:00,896664140.5
2023-05-13 12:00:00,
2023-05-13 16:00:00,914620964.0
2023-05-13 20:00:00,908120697.0
2023-05-14 00:00:00,913992412.0
2023-05-14 04:00:00,
2023-05-14 08:00:00,885575082.0
2023-05-14 12:00:00,893990602.5
2023-05-14 16:00:00,904504009.0
2023-05-14 20:00:00,912472432.0
2023-05-15 00:00:00,
2023-05-15 04:00:00,904030475.5
2023-05-15 08:00:00,918999438.0
2023-05-15 12:00:00,
2023-05-15 16:00:00,921857388.0
2023-05-15 20:00:00,906101867.0
2023-05-16 00:00:00,
2023-05-16 04:00:00,854644219.0
2023-05-16 08:00:00,882769908.0
2023-05-16 12:00:00,
2023-05-16 16:00:00,910138548.0
