Data,Vazao
2023-04-28 00:00:00,878196490.0
2023-04-28 04:00:00,
2023-04-28 08:00:00,
2023-04-28 12:00:00,
2023-04-28 16:00:00,917949757.0
2023-04-28 20:00:00,748914239.0
2023-04-29 00:00:00,
2023-04-29 04:00:00,
2023-04-29 08:00:00,890538196.0
2023-04-29 12:00:00,914495865.0
2023-04-29 16:00:00,786893065.0
2023-04-29 20:00:00,936284318.0
2023-04-30 00:00:00,839899949.0
2023-04-30 04:00:00,815742911.5
2023-04-30 08:00:00,
2023-04-30 12:00:00,
2023-04-30 16:00:00,925370078.0
2023-04-30 20:00:00,909804527.6666666
2023-05-01 00:00:00,
2023-05-01 04:00:00,921728260.0
2023-05-01 08:00:00,795633647.6666666
2023-05-01 12:00:00,922779841.0
2023-05-01 16:00:00,810995160.3333334
2023-05-01 20:00:00,
2023-05-02 00:00:00,940291543.0
2023-05-02 04:00:00,
2023-05-02 08:00:00,755513702.0
2023-05-02 12:00:00,860712511.0
2023-05-02 16:00:00,840322363.0
2023-05-02 20:00:00,
2023-05-03 00:00:00,919596232.0
2023-05-03 04:00:00,
2023-05-03 08:00:00,
2023-05-03 12:00:00,
2023-05-03 16:00:00,
2023-05-03 20:00:00,
2023-05-04 00:00:00,
2023-05-04 04:00:00,752337857.0
2023-05-04 08:00:00,692076349.0
2023-05-04 12:00:00,
2023-05-04 16:00:00,
2023-05-04 20:00:00,911214411.0
2023-05-05 00:00:00,921035538.0
2023-05-05 04:00:00,824706879.0
2023-05-05 08:00:00,
2023-05-05 12:00:00,
2023-05-05 16:00:00,925136110.0
2023-05-05 20:00:00,912001620.5
2023-05-06 00:00:00,
2023-05-06 04:00:00,
2023-05-06 08:00:00,806013093.5
2023-05-06 12:00:00,798340502.0
2023-05-06 16:00:00,878720527.0
2023-05-06 20:00:00,922680400.0
2023-05-07 00:00:00,937428537.0
2023-05-07 04:00:00,872845170.0
2023-05-07 08:00:00,924059054.0
2023-05-07 12:00:00,
2023-05-07 16:00:00,924763207.0
2023-05-07 20:00:00,903402652.0
2023-05-08 00:00:00,817632652.0
2023-05-08 04:00:00,
2023-05-08 08:00:00,
2023-05-08 12:00:00,596461133.0
2023-05-08 16:00:00,844994726.0
2023-05-08 20:00:00,927589332.5
2023-05-09 00:00:00,842085184.0
2023-05-09 04:00:00,873477565.0
2023-05-09 08:00:00,701462796.0
2023-05-09 12:00:00,
2023-05-09 16:00:00,864979552.0
2023-05-09 20:00:00,
2023-05-10 00:00:00,896951613.5
2023-05-10 04:00:00,671613868.0
2023-05-10 08:00:00,867632167.0
2023-05-10 12:00:00,
2023-05-10 16:00:00,858396800.5
2023-05-10 20:00:00,895082816.5
2023-05-11 00:00:00,
2023-05-11 04:00:00,
2023-05-11 08:00:00,820278775.0
2023-05-11 12:00:00,902208556.5
2023-05-11 16:00:00,841573085.0
2023-05-11 20:00:00,
2023-05-12 00:00:00,882700673.0
2023-05-12 04:00:00,893717960.0
2023-05-12 08:00:00,876627973.0
2023-05-12 12:00:00,
2023-05-12 16:00:00,
2023-05-12 20:00:00,935710221.0
2023-05-13 00:00:00,926418609.0
2023-05-13 04:00:00,
2023-05-13 08:00:00,893986653.5
2023-05-13 12:00:00,902974286.0
2023-05-13 16:00:00,911842191.0
2023-05-13 20:00:00,
2023-05-14 00:00:00,924753323.0
2023-05-14 04:00:00,846525405.5
2023-05-14 08:00:00,832768310.0
2023-05-14 12:00:00,844789234.0
2023-05-14 16:00:00,
2023-05-14 20:00:00,860941850.0
2023-05-15 00:00:00,
2023-05-15 04:00:00,
2023-05-15 08:00:00,
2023-05-15 12:00:00,925020975.0
2023-05-15 16:00:00,869262692.0
2023-05-15 20:00:00,
2023-05-16 00:00:00,
2023-05-16 04:00:00,
2023-05-16 08:00:00,853545686.0
2023-05-16 12:00:00,905395663.0
2023-05-16 16:00:00,756852982.5
2023-05-16 20:00:00,767285705.0
2023-05-17 00:00:00,654786819.0
2023-05-17 04:00:00,890145601.0
2023-05-17 08:00:00,
2023-05-17 12:00:00,
2023-05-17 16:00:00,
2023-05-17 20:00:00,
2023-05-18 00:00:00,910244338.0
2023-05-18 04:00:00,
2023-05-18 08:00:00,
2023-05-18 12:00:00,
2023-05-18 16:00:00,887208614.5
2023-05-18 20:00:00,821938877.0
2023-05-19 00:00:00,
2023-05-19 04:00:00,855629203.0
2023-05-19 08:00:00,826757159.5
2023-05-19 12:00:00,629206648.0
2023-05-19 16:00:00,
2023-05-19 20:00:00,
2023-05-20 00:00:00,804002854.25
2023-05-20 04:00:00,837636027.0
2023-05-20 08:00:00,
2023-05-20 12:00:00,850870398.0
2023-05-20 16:00:00,897399764.0
2023-05-20 20:00:00,847279595.0
2023-05-21 00:00:00,893752234.0
2023-05-21 04:00:00,926277764.0
2023-05-21 08:00:00,925436943.0
2023-05-21 12:00:00,924658081.0
2023-05-21 16:00:00,800355519.0
2023-05-21 20:00:00,786917021.0
2023-05-22 00:00:00,
2023-05-22 04:00:00,
2023-05-22 08:00:00,904681422.0
2023-05-22 12:00:00,782610097.0
2023-05-22 16:00:00,880647126.0
2023-05-22 20:00:00,854689121.5
2023-05-23 00:00:00,881970322.0
2023-05-23 04:00:00,
2023-05-23 08:00:00,
