method,missing_rate,rmse,rmse,rmse,rmse,mae,mae,mae,mae
,,mean,median,std,count,mean,median,std,count
HoltWinters,0.1,72330720.61368166,89328517.94049075,32518026.109254654,11,54513003.7098177,67899084.5641832,24545178.870651267,11
SVD_KNN_Hankel,0.1,74731774.85542326,83827216.4886077,32640718.034208614,11,52171057.3592076,57175281.3907777,24395359.82691823,11
ARIMA,0.1,75769473.12313055,90308976.86465052,30520996.546612713,11,55770604.01060608,64740324.88894074,24287162.199431695,11
HoltWinters,0.3,84452238.66523017,93547632.85333088,34627639.83012298,11,59679607.78269913,74305171.40113927,27025790.64832002,11
SVD_KNN_Hankel,0.3,85365396.49409047,88988317.65519881,38409835.066728316,11,54442864.35570383,67368148.95730162,25424637.258960158,11
HoltWinters,0.2,86017986.59504803,91754603.47387885,36474128.57551223,11,59804428.0658516,73187731.4809537,27464512.897083078,11
KNN_Sklearn,0.1,86315533.91499467,86139551.82766616,69746679.59738521,11,61371322.979022235,59412315.20830237,44098630.28273147,11
Mean,0.1,86315533.91499467,86139551.82766616,69746679.59738521,11,61371322.979022235,59412315.20830237,44098630.28273147,11
SVD_KNN_Hankel,0.2,87443958.00638527,89968381.01565155,40512363.27667084,11,55652794.57371548,65782161.29086983,26554606.66544086,11
ARIMA,0.3,88525238.69529806,92392762.06042784,39433915.73810985,11,59611231.243595436,72136230.58756004,25951715.73755203,11
Linear,0.1,89205399.41413635,105169252.78678194,33190825.48286807,11,64774131.059226625,67880252.46553029,27705116.043188497,11
ARIMA,0.2,89492450.63808396,90092227.7265248,41824625.940319836,11,59315496.94044466,73834198.61766094,26975143.007264394,11
SVD_KNN_Hankel,0.4,91443116.01373218,85232154.82985859,50383567.11038292,11,56998097.0932455,63865980.09777374,30381445.461530294,11
HoltWinters,0.4,92562445.77069215,106625096.94743508,33986539.19145852,11,64526582.11089094,81189562.87226936,27880035.815839138,11
KNN_Sklearn,0.3,92587227.56624265,84480505.55496769,67736136.37417807,11,63461686.371134944,68332163.38694568,45183077.90927571,11
Mean,0.3,92587227.56624265,84480505.55496769,67736136.37417807,11,63461686.371134944,68332163.38694568,45183077.90927571,11
SVD_KNN,0.1,94620198.59260179,95782729.67207392,81397294.84222525,11,63042056.187364936,70533807.99788958,42826857.55087322,11
KNN_Sklearn,0.4,95101578.22200918,82956538.50710769,69053466.24421707,11,63470710.65020468,66961123.44512609,45688907.464865066,11
Mean,0.4,95101578.22200918,82956538.50710769,69053466.24421707,11,63470710.65020468,66961123.44512609,45688907.464865066,11
Linear,0.3,96226595.46157399,109163900.33098613,39244105.86858377,11,65362017.064417794,84124542.80776256,26791920.99637538,11
ARIMA,0.4,96722645.65825418,95397780.815112,35851458.210559174,11,61477607.74582347,75035678.65985353,24977534.947907023,11
KNN_Sklearn,0.2,96982861.71578747,84524398.21122378,73963948.86757928,11,64978471.00721381,69069905.45112917,47837462.14665632,11
Mean,0.2,96982861.71578747,84524398.21122378,73963948.86757928,11,64978471.00721381,69069905.45112917,47837462.14665632,11
Linear,0.4,97381261.9953646,106499839.19037014,36761375.237561494,11,65501424.66500033,82949455.69312169,26701306.99299545,11
Linear,0.2,98672506.64652823,111080369.7308264,41106586.86570123,11,66463779.63323582,77993268.4472693,28002878.66825863,11
SVD_KNN,0.3,100761670.60321346,87441364.06286362,82236695.63007464,11,65191235.770342596,67233647.1064373,46827698.25539583,11
LOCF,0.1,101036186.45630288,103611882.11783978,36642402.26864679,11,68497281.3467658,61802243.28409091,30109914.29148256,11
SVD_KNN,0.2,102470301.77553397,89102850.29885265,82550072.75450231,11,64827896.86993437,65517624.15662483,46200308.69538809,11
SVD_KNN,0.4,103968857.01851676,85756131.91945389,86989177.00434755,11,66349870.621672586,65614189.77865663,50486605.79622424,11
LOCF,0.4,110822864.24957514,121685561.6164955,45126824.194631465,11,71562095.64034103,86871875.6440678,29144353.676007032,11
LOCF,0.3,111045764.54530261,115420787.44934502,50347355.6125765,11,71106992.32930076,77252604.69056603,29871904.503761157,11
LOCF,0.2,116284041.26413828,122213592.58242188,57331861.76345133,11,72799471.25315358,78615037.3559322,31571616.906992663,11
Spline,0.1,124582534.72128645,136796862.30587506,41400642.991626285,11,86906631.5564169,95375705.24492194,33943539.5149037,11
Spline,0.3,132899204.89918758,146123306.6384399,53241240.09274597,11,90151893.08862242,109382210.47707044,37041941.35270776,11
Spline,0.2,134683622.91529492,152218474.47357228,52953858.87921631,11,89946572.92666386,113015621.79097274,36123305.702518575,11
Spline,0.4,142546228.3688474,147799433.67806292,47991570.96675141,11,92968418.74987075,111419461.25630966,37143963.40995409,11
Kalman,0.2,150226999.71563476,157369264.297169,62059567.623536624,11,97778626.07537581,105558665.0489905,47934038.58444238,11
Kalman,0.1,154427270.3359858,147017947.098916,87889723.26949686,11,97195722.11289532,107400016.89414293,53703920.76602965,11
Kalman,0.3,160910118.51242247,163338405.55345535,52569493.418233976,11,100890001.62834916,114323507.39129634,43276513.004067615,11
Kalman,0.4,166356700.4425576,173568059.26891652,58584308.69961385,11,106847097.8870356,122709635.94422376,47801083.239949964,11
