dataset,missing_rate,method,rmse,mae,n_points,imputed_csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN,118850531.50002487,75712858.59823385,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,114514210.2031613,73422301.52037464,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Kalman,156195465.60647267,122919678.02704434,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,ARIMA,104862006.06865978,68386633.78285107,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_ARIMA_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,HoltWinters,117926204.11404485,77455591.88529941,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_HoltWinters_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Linear,115782605.84333214,89614230.58986928,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Linear_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,KNN_Sklearn,112251555.45307803,70731718.09321779,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_KNN_Sklearn_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Spline,135500813.12858117,109862733.58866718,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Spline_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Mean,112251555.45307803,70731718.09321779,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Mean_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,LOCF,117908940.37117739,93056345.51960784,102,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_LOCF_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN,118692521.59751719,76216997.69362469,203,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN_Hankel,118205703.83239862,76031505.73518935,203,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_Hankel_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Kalman,157369264.29717022,119802086.06853624,203,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Kalman_imputed.csv
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,ARIMA,109980159.41904013,74370040.79671766,203,imputation_results_final_longest\imputed_datasets_all\esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_ARIMA_imputed.csv
