Data,Intervalo,Vazao
 28-4-2023,00:00:00 a 05:59:59,904398815.5
 28-4-2023,06:00:00 a 11:59:59,-1
 28-4-2023,12:00:00 a 17:59:59,-1
 28-4-2023,18:00:00 a 23:59:59,913310854.5
 29-4-2023,00:00:00 a 05:59:59,-1
 29-4-2023,06:00:00 a 11:59:59,890767363.5
 29-4-2023,12:00:00 a 17:59:59,-1
 29-4-2023,18:00:00 a 23:59:59,905971204.0
 30-4-2023,00:00:00 a 05:59:59,912787963.0
 30-4-2023,06:00:00 a 11:59:59,877134889.5
 30-4-2023,12:00:00 a 17:59:59,916456707.0
 30-4-2023,18:00:00 a 23:59:59,868222143.0
 1-5-2023,00:00:00 a 05:59:59,894699555.0
 1-5-2023,06:00:00 a 11:59:59,881679217.0
 1-5-2023,12:00:00 a 17:59:59,-1
 1-5-2023,18:00:00 a 23:59:59,-1
 2-5-2023,00:00:00 a 05:59:59,913836040.0
 2-5-2023,06:00:00 a 11:59:59,879232116.5
 2-5-2023,12:00:00 a 17:59:59,-1
 2-5-2023,18:00:00 a 23:59:59,875299809.5
 3-5-2023,00:00:00 a 05:59:59,830998349.0
 3-5-2023,06:00:00 a 11:59:59,893125875.0
 3-5-2023,12:00:00 a 17:59:59,890245786.0
 3-5-2023,18:00:00 a 23:59:59,910428275.0
 4-5-2023,00:00:00 a 05:59:59,894962317.5
 4-5-2023,06:00:00 a 11:59:59,878008058.67
 4-5-2023,12:00:00 a 17:59:59,-1
 4-5-2023,18:00:00 a 23:59:59,843579265.0
 5-5-2023,00:00:00 a 05:59:59,880019095.5
 5-5-2023,06:00:00 a 11:59:59,908592755.0
 5-5-2023,12:00:00 a 17:59:59,-1
 5-5-2023,18:00:00 a 23:59:59,860096908.0
 6-5-2023,00:00:00 a 05:59:59,861406346.0
 6-5-2023,06:00:00 a 11:59:59,880284194.0
 6-5-2023,12:00:00 a 17:59:59,921175213.0
 6-5-2023,18:00:00 a 23:59:59,880279684.0
 7-5-2023,00:00:00 a 05:59:59,894961534.5
 7-5-2023,06:00:00 a 11:59:59,880105794.67
 7-5-2023,12:00:00 a 17:59:59,-1
 7-5-2023,18:00:00 a 23:59:59,874512515.0
