dataset,missing_rate,method,rmse,mae,n_points
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN,118850531.5000249,75712858.59823386,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,114514210.2031613,73422301.52037464,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Kalman,156195465.60647452,122919678.02704628,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,ARIMA,104862003.93952967,68386634.026162,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,HoltWinters,117926204.2153533,77455591.79428612,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Linear,115782605.84333214,89614230.58986928,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,KNN_Sklearn,112251555.45307803,70731718.09321779,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Spline,135500813.12858117,109862733.58866718,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,Mean,112251555.45307803,70731718.09321779,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.1,LOCF,117908940.37117739,93056345.51960784,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN,118692521.59751719,76216997.69362472,203
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,SVD_KNN_Hankel,118205703.83239861,76031505.73518933,203
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Kalman,157369264.297169,119802086.06853305,203
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,ARIMA,109980159.25071934,74370040.91947551,203
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,HoltWinters,118061020.21350084,81295531.9116434,203
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,Linear,124155030.52597001,92298635.3233169,203
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.2,KNN_Sklearn,113739530.85966,73891112.13588051,203
