            method  missing_rate  rmse_mean  rmse_std  nrmse_mean  nrmse_std  \
0            ARIMA           0.1    23.9710    9.6591      0.0316     0.0126   
1            ARIMA           0.2    40.0399   18.7402      0.0504     0.0165   
2            ARIMA           0.3    48.4863   21.6290      0.0622     0.0219   
3            ARIMA           0.4    61.1876   22.7162      0.0788     0.0233   
4      HoltWinters           0.1    23.1250   10.3516      0.0309     0.0143   
5      HoltWinters           0.2    38.4829   16.3341      0.0493     0.0179   
6      HoltWinters           0.3    46.3847   19.1360      0.0607     0.0248   
7      HoltWinters           0.4    58.5535   21.5150      0.0780     0.0319   
8      KNN_Sklearn           0.1    27.2927   22.0024      0.0328     0.0149   
9      KNN_Sklearn           0.2    43.3894   33.1029      0.0509     0.0189   
10     KNN_Sklearn           0.3    50.7036   37.0871      0.0606     0.0233   
11     KNN_Sklearn           0.4    60.1630   43.7055      0.0722     0.0260   
12          Kalman           0.1    48.8688   27.8507      0.0602     0.0210   
13          Kalman           0.2    67.2153   27.8070      0.0863     0.0299   
14          Kalman           0.3    88.1270   28.8387      0.1155     0.0384   
15          Kalman           0.4   105.2387   37.1257      0.1375     0.0472   
16            LOCF           0.1    31.9640   11.5942      0.0430     0.0186   
17            LOCF           0.2    52.0270   25.6909      0.0664     0.0258   
18            LOCF           0.3    60.8219   27.6152      0.0790     0.0320   
19            LOCF           0.4    70.0877   28.5844      0.0918     0.0359   
20          Linear           0.1    28.2206   10.4991      0.0385     0.0177   
21          Linear           0.2    44.1452   18.4161      0.0576     0.0227   
22          Linear           0.3    52.7014   21.5080      0.0694     0.0289   
23          Linear           0.4    61.6028   23.2763      0.0815     0.0324   
24            Mean           0.1    27.2927   22.0024      0.0328     0.0149   
25            Mean           0.2    43.3894   33.1029      0.0509     0.0189   
26            Mean           0.3    50.7036   37.0871      0.0606     0.0233   
27            Mean           0.4    60.1630   43.7055      0.0722     0.0260   
28         SVD_KNN           0.1    29.7260   25.0931      0.0354     0.0163   
29         SVD_KNN           0.2    45.7208   36.5634      0.0532     0.0203   
30         SVD_KNN           0.3    55.0909   44.7509      0.0654     0.0276   
31         SVD_KNN           0.4    65.3429   53.6946      0.0773     0.0309   
32  SVD_KNN_Hankel           0.1    23.6396   10.3171      0.0315     0.0142   
33  SVD_KNN_Hankel           0.2    39.1209   18.1383      0.0494     0.0171   
34  SVD_KNN_Hankel           0.3    46.7496   21.0329      0.0600     0.0225   
35  SVD_KNN_Hankel           0.4    57.8468   31.8908      0.0723     0.0249   
36          Spline           0.1    39.4097   13.0859      0.0542     0.0257   
37          Spline           0.2    60.2548   23.7232      0.0792     0.0318   
38          Spline           0.3    72.7851   29.1725      0.0965     0.0425   
39          Spline           0.4    90.1743   30.3960      0.1271     0.0694   
