Pop,MissingRate,Method,Fuzzy_Accuracy
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,ARIMA,95.33
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,HoltWinters,94.83
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,KNN_Sklearn,95.87
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Kalman,92.17
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,LOCF,93.4
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Linear,94.31
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Mean,95.87
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,SVD_KNN,95.72
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,SVD_KNN_Hankel,95.82
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Spline,92.49
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,ARIMA,94.94
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,HoltWinters,94.77
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,KNN_Sklearn,95.18
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Kalman,92.48
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,LOCF,93.72
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Linear,94.16
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Mean,95.18
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,SVD_KNN,94.89
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,SVD_KNN_Hankel,95.03
ESMOND DATA PERFSONAR-ANKARA.ULAKBIM.GOV.TR TO PSMP-GN-BW-POZ-PL.GEANT.ORG 10-24-2023,,Spline,92.33
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,ARIMA,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,HoltWinters,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,KNN_Sklearn,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Kalman,93.81
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,LOCF,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Linear,99.61
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Mean,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,SVD_KNN,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,SVD_KNN_Hankel,100.0
ESMOND DATA PERFSONAR-SONDA.REDIRIS.ES TO PSMP-GN-BW-LIS-PT.GEANT.ORG 10-24-2023,,Spline,99.63
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,ARIMA,94.72
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,HoltWinters,94.37
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,KNN_Sklearn,88.91
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,Kalman,91.17
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,LOCF,94.34
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,Linear,94.17
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,Mean,88.91
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,SVD_KNN,91.3
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,SVD_KNN_Hankel,93.34
ESMOND DATA PSMALL.LUT.AC.UK TO PSMP-GN-BW-VIE-AT.GEANT.ORG 10-24-2023,,Spline,92.16
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,ARIMA,96.95
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,HoltWinters,97.15
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,KNN_Sklearn,97.38
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Kalman,96.43
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,LOCF,96.7
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Linear,96.73
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,Mean,97.38
ESMOND DATA PSMP-GN-BW-LIS-PT.GEANT.ORG TO PERFSONAR-ANKARA.ULAKBIM.GOV.TR 10-24-2023,,SVD_KNN,97.1
