imputed_file,original_file,method,missing_rate,rmse_avg,nrmse_avg,nrmse_mode
<multiple>,<multiple>,ARIMA,,43421216.87351338,0.05572189988083177,range
<multiple>,<multiple>,HoltWinters,,41636546.84887352,0.05472141577447633,range
<multiple>,<multiple>,KNN_Sklearn,,45387184.28116551,0.05411301151376135,range
<multiple>,<multiple>,Kalman,,77362444.38904005,0.09987640679570665,range
<multiple>,<multiple>,LOCF,,53725145.01572888,0.07005907598795534,range
<multiple>,<multiple>,Linear,,46667493.570153445,0.061722462335230315,range
<multiple>,<multiple>,Mean,,45387184.28116551,0.05411301151376135,range
<multiple>,<multiple>,SVD_KNN,,48970142.48118436,0.057821838921374,range
<multiple>,<multiple>,SVD_KNN_Hankel,,41839224.52781949,0.053293651323886644,range
<multiple>,<multiple>,Spline,,65655980.41965201,0.0892428127807913,range
