dataset_base,imputed_file,original_file,method,missing_rate,n,rmse,nrmse,nrmse_mode,wd,jsd,js_distance,bins_mode,bins_used
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_ARIMA_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,,1015,33241853.141834646,0.03660713191641513,range,5596612.105680384,0.021442325241811677,0.14643198162222512,fd,45
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_ARIMA_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,,1015,49184622.52744751,0.05416388663529192,range,10472988.94965757,0.019200320000051466,0.13856521930142307,fd,50
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_ARIMA_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,,1015,61973769.0998937,0.06824775776240162,range,15020331.122187475,0.10153326201755869,0.3186428439766986,fd,45
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_ARIMA_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,ARIMA,,1015,75125021.89592333,0.08273039336987635,range,16742205.214828007,0.020918532329805124,0.144632404148604,fd,64
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_HoltWinters_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,,1015,37383278.32643568,0.041167819234531555,range,3725099.4325665785,0.014787662658459863,0.12160453387295994,fd,45
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_HoltWinters_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,,1015,52798493.338072926,0.058143611981197996,range,8133265.166379823,0.014607191744747287,0.12086021572356756,fd,46
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_HoltWinters_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,,1015,63127363.041512705,0.06951813716690235,range,11970889.656258786,0.08716281535469032,0.2952334929419261,fd,45
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_HoltWinters_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,HoltWinters,,1015,74094109.93017457,0.0815951157978543,range,11646257.272216268,0.08485405164632406,0.2912971878448607,fd,45
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_KNN_Sklearn_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,,1015,35584382.382218696,0.03918680990713697,range,7108015.020205137,0.02603864374140133,0.1613649396287847,fd,45
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_KNN_Sklearn_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,,1015,50865864.54622696,0.056015331201341854,range,14778222.427176105,0.04441255322875055,0.21074286044549775,fd,55
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr30_KNN_Sklearn_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,,1015,61041386.23983324,0.06722098400796606,range,22176639.736517638,0.14724312239315124,0.3837227155032019,fd,57
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr40_KNN_Sklearn_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,KNN_Sklearn,,1015,67693525.28523555,0.07454656030849172,range,29293388.86571542,0.2030309311563822,0.4505895373356801,fd,102
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Kalman_imputed.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,Kalman,,1015,49514852.17354292,0.0545275474747086,range,2705458.580330798,0.13084253493949788,0.3617216263088204,fd,45
