file_imputed,file_original,len_imputed,len_original,dtw_distance,normalized_dtw,trend_correlation,trend_dtw,seasonality_period_orig,seasonality_period_imp,seasonality_period_diff,seasonality_strength_orig,seasonality_strength_imp,seasonality_strength_diff,spectral_similarity,acf_similarity,overall_score
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,3770148521.5513883,7020760.747767949,0.9488504493978652,3169823.2132622134,107,152.0,45.0,0.1162079031088894,0.11463238234177416,0.0015755207671152432,0.9998209254197299,0.9763723338471425,0.9750145695549125
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,4183233704.9,7790006.899255121,0.9529284251600764,3287980.2585359877,107,4.0,103.0,0.1162079031088894,0.1153197291702061,0.0008881739386833037,0.9997574035023633,0.9610359669662073,0.9712405985428824
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,2981378427.254052,5551915.134551307,0.9634681997346732,2568815.9537512716,107,106.0,1.0,0.1162079031088894,0.10641767089893384,0.009790232209955563,0.9998559083146041,0.9503934401168554,0.9712391827220443
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,2981378427.254052,5551915.134551307,0.9634681997346732,2568815.9537512716,107,106.0,1.0,0.1162079031088894,0.10641767089893384,0.009790232209955563,0.9998559083146041,0.9503934401168554,0.9712391827220443
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,3180411041.524862,5922553.149953187,0.961039387909258,2894291.189763516,107,106.0,1.0,0.1162079031088894,0.10640478701295364,0.00980311609593576,0.9998448454152181,0.9491421195607865,0.9700087842950875
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,3089742112.3973303,5753709.706512719,0.9614253563653636,2834295.14936727,107,155.0,48.0,0.1162079031088894,0.10912532076942526,0.007082582339464141,0.9998291136862797,0.9451490251246687,0.9688011650587707
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr10_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,4526118737.264175,8428526.51259623,0.929432527346806,3925129.0471762675,107,152.0,45.0,0.1162079031088894,0.10669614901751724,0.009511754091372157,0.9997291760057758,0.9713313981414134,0.9668310338313318
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,6008652105.292363,11189296.28546064,0.9317515544906912,3596135.686967231,107,107.0,0.0,0.1162079031088894,0.11327004065630907,0.0029378624525803337,0.9997566395272413,0.9256226042070268,0.952376932741653
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,6008652105.292363,11189296.28546064,0.9317515544906912,3596135.686967231,107,107.0,0.0,0.1162079031088894,0.11327004065630907,0.0029378624525803337,0.9997566395272413,0.9256226042070268,0.952376932741653
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_mr20_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,6178031358.48473,11504713.889170818,0.9224230680188237,4138758.2867657524,107,107.0,0.0,0.1162079031088894,0.11276349965284492,0.0034444034560444786,0.9997153813571703,0.931247782930708,0.9511287441022341
