timestamp,Data,Intervalo,Vazao,Hora_inicio
2023-04-27 00:00:00,2023-04-27,00:00:00 a 05:59:59,890600101.1409594,00:00:00
2023-04-27 06:00:00,2023-04-27,06:00:00 a 11:59:59,871728552.930568,06:00:00
2023-04-27 12:00:00,2023-04-27,12:00:00 a 17:59:59,849287492.4179137,12:00:00
2023-04-27 18:00:00,2023-04-27,18:00:00 a 23:59:59,885524468.0,18:00:00
2023-04-28 00:00:00,2023-04-28,00:00:00 a 05:59:59,835191924.5,00:00:00
2023-04-28 06:00:00,2023-04-28,06:00:00 a 11:59:59,827589017.0,06:00:00
2023-04-28 12:00:00,2023-04-28,12:00:00 a 17:59:59,894702583.0,12:00:00
2023-04-28 18:00:00,2023-04-28,18:00:00 a 23:59:59,889455880.0,18:00:00
2023-04-29 00:00:00,2023-04-29,00:00:00 a 05:59:59,885785841.0,00:00:00
2023-04-29 06:00:00,2023-04-29,06:00:00 a 11:59:59,898895462.5,06:00:00
2023-04-29 12:00:00,2023-04-29,12:00:00 a 17:59:59,881331518.5,12:00:00
2023-04-29 18:00:00,2023-04-29,18:00:00 a 23:59:59,895135995.0,18:00:00
2023-04-30 00:00:00,2023-04-30,00:00:00 a 05:59:59,926942435.0,00:00:00
2023-04-30 06:00:00,2023-04-30,06:00:00 a 11:59:59,920386770.5,06:00:00
2023-04-30 12:00:00,2023-04-30,12:00:00 a 17:59:59,896009959.5,12:00:00
2023-04-30 18:00:00,2023-04-30,18:00:00 a 23:59:59,894961361.0,18:00:00
2023-05-01 00:00:00,2023-05-01,00:00:00 a 05:59:59,899154428.0,00:00:00
2023-05-01 06:00:00,2023-05-01,06:00:00 a 11:59:59,822863591.5,06:00:00
2023-05-01 12:00:00,2023-05-01,12:00:00 a 17:59:59,913048292.0,12:00:00
2023-05-01 18:00:00,2023-05-01,18:00:00 a 23:59:59,910952146.0,18:00:00
2023-05-02 00:00:00,2023-05-02,00:00:00 a 05:59:59,869271983.5,00:00:00
2023-05-02 06:00:00,2023-05-02,06:00:00 a 11:59:59,854062376.0,06:00:00
2023-05-02 12:00:00,2023-05-02,12:00:00 a 17:59:59,892338734.0,12:00:00
2023-05-02 18:00:00,2023-05-02,18:00:00 a 23:59:59,919602936.5,18:00:00
2023-05-03 00:00:00,2023-05-03,00:00:00 a 05:59:59,898365854.0,00:00:00
2023-05-03 06:00:00,2023-05-03,06:00:00 a 11:59:59,830209627.0,06:00:00
2023-05-03 12:00:00,2023-05-03,12:00:00 a 17:59:59,867173787.0,12:00:00
2023-05-03 18:00:00,2023-05-03,18:00:00 a 23:59:59,906231319.5,18:00:00
2023-05-04 00:00:00,2023-05-04,00:00:00 a 05:59:59,889718095.5,00:00:00
2023-05-04 06:00:00,2023-05-04,06:00:00 a 11:59:59,803210647.0,06:00:00
2023-05-04 12:00:00,2023-05-04,12:00:00 a 17:59:59,874250987.0,12:00:00
2023-05-04 18:00:00,2023-05-04,18:00:00 a 23:59:59,736623339.5,18:00:00
2023-05-05 00:00:00,2023-05-05,00:00:00 a 05:59:59,868746499.5,00:00:00
2023-05-05 06:00:00,2023-05-05,06:00:00 a 11:59:59,790365078.0,06:00:00
2023-05-05 12:00:00,2023-05-05,12:00:00 a 17:59:59,901645664.5,12:00:00
2023-05-05 18:00:00,2023-05-05,18:00:00 a 23:59:59,824707374.0,18:00:00
2023-05-06 00:00:00,2023-05-06,00:00:00 a 05:59:59,860358118.5,00:00:00
2023-05-06 06:00:00,2023-05-06,06:00:00 a 11:59:59,847777165.0,06:00:00
2023-05-06 12:00:00,2023-05-06,12:00:00 a 17:59:59,900377234.0,12:00:00
2023-05-06 18:00:00,2023-05-06,18:00:00 a 23:59:59,871628865.5,18:00:00
2023-05-07 00:00:00,2023-05-07,00:00:00 a 05:59:59,905709385.0,00:00:00
2023-05-07 06:00:00,2023-05-07,06:00:00 a 11:59:59,884999502.0,06:00:00
2023-05-07 12:00:00,2023-05-07,12:00:00 a 17:59:59,873728336.0,12:00:00
2023-05-07 18:00:00,2023-05-07,18:00:00 a 23:59:59,891291244.5,18:00:00
2023-05-08 00:00:00,2023-05-08,00:00:00 a 05:59:59,817103362.5,00:00:00
2023-05-08 06:00:00,2023-05-08,06:00:00 a 11:59:59,898894218.5,06:00:00
2023-05-08 12:00:00,2023-05-08,12:00:00 a 17:59:59,861931195.0,12:00:00
2023-05-08 18:00:00,2023-05-08,18:00:00 a 23:59:59,909116187.0,18:00:00
2023-05-09 00:00:00,2023-05-09,00:00:00 a 05:59:59,869531757.0,00:00:00
2023-05-09 06:00:00,2023-05-09,06:00:00 a 11:59:59,764938516.5,06:00:00
2023-05-09 12:00:00,2023-05-09,12:00:00 a 17:59:59,726925184.0,12:00:00
2023-05-09 18:00:00,2023-05-09,18:00:00 a 23:59:59,846464355.5,18:00:00
2023-05-10 00:00:00,2023-05-10,00:00:00 a 05:59:59,911738122.5,00:00:00
2023-05-10 06:00:00,2023-05-10,06:00:00 a 11:59:59,779792975.67,06:00:00
2023-05-10 12:00:00,2023-05-10,12:00:00 a 17:59:59,898761974.0,12:00:00
2023-05-10 18:00:00,2023-05-10,18:00:00 a 23:59:59,836870048.0,18:00:00
2023-05-11 00:00:00,2023-05-11,00:00:00 a 05:59:59,920337317.0,00:00:00
2023-05-11 06:00:00,2023-05-11,06:00:00 a 11:59:59,872601587.5,06:00:00
2023-05-11 12:00:00,2023-05-11,12:00:00 a 17:59:59,806722457.5,12:00:00
2023-05-11 18:00:00,2023-05-11,18:00:00 a 23:59:59,711145274.0,18:00:00
2023-05-12 00:00:00,2023-05-12,00:00:00 a 05:59:59,840504835.33,00:00:00
2023-05-12 06:00:00,2023-05-12,06:00:00 a 11:59:59,894331722.0,06:00:00
2023-05-12 12:00:00,2023-05-12,12:00:00 a 17:59:59,893544797.0,12:00:00
2023-05-12 18:00:00,2023-05-12,18:00:00 a 23:59:59,891840782.5,18:00:00
2023-05-13 00:00:00,2023-05-13,00:00:00 a 05:59:59,869453603.5,00:00:00
2023-05-13 06:00:00,2023-05-13,06:00:00 a 11:59:59,831024386.0,06:00:00
2023-05-13 12:00:00,2023-05-13,12:00:00 a 17:59:59,863188928.0,12:00:00
2023-05-13 18:00:00,2023-05-13,18:00:00 a 23:59:59,789630715.5,18:00:00
2023-05-14 00:00:00,2023-05-14,00:00:00 a 05:59:59,784833338.5,00:00:00
2023-05-14 06:00:00,2023-05-14,06:00:00 a 11:59:59,886678074.5,06:00:00
2023-05-14 12:00:00,2023-05-14,12:00:00 a 17:59:59,754241638.0,12:00:00
2023-05-14 18:00:00,2023-05-14,18:00:00 a 23:59:59,921253947.0,18:00:00
2023-05-15 00:00:00,2023-05-15,00:00:00 a 05:59:59,818703023.5,00:00:00
2023-05-15 06:00:00,2023-05-15,06:00:00 a 11:59:59,886414684.0,06:00:00
2023-05-15 12:00:00,2023-05-15,12:00:00 a 17:59:59,883635762.5,12:00:00
2023-05-15 18:00:00,2023-05-15,18:00:00 a 23:59:59,891921317.67,18:00:00
2023-05-16 00:00:00,2023-05-16,00:00:00 a 05:59:59,889900904.0,00:00:00
2023-05-16 06:00:00,2023-05-16,06:00:00 a 11:59:59,778149938.0,06:00:00
2023-05-16 12:00:00,2023-05-16,12:00:00 a 17:59:59,884841449.5,12:00:00
2023-05-16 18:00:00,2023-05-16,18:00:00 a 23:59:59,870949400.0,18:00:00
2023-05-17 00:00:00,2023-05-17,00:00:00 a 05:59:59,900387588.0,00:00:00
2023-05-17 06:00:00,2023-05-17,06:00:00 a 11:59:59,816999627.5,06:00:00
2023-05-17 12:00:00,2023-05-17,12:00:00 a 17:59:59,886205250.0,12:00:00
2023-05-17 18:00:00,2023-05-17,18:00:00 a 23:59:59,884919537.5,18:00:00
2023-05-18 00:00:00,2023-05-18,00:00:00 a 05:59:59,890871400.5,00:00:00
2023-05-18 06:00:00,2023-05-18,06:00:00 a 11:59:59,786852352.5,06:00:00
2023-05-18 12:00:00,2023-05-18,12:00:00 a 17:59:59,896796568.5,12:00:00
2023-05-18 18:00:00,2023-05-18,18:00:00 a 23:59:59,874356684.0,18:00:00
2023-05-19 00:00:00,2023-05-19,00:00:00 a 05:59:59,892523413.0,00:00:00
2023-05-19 06:00:00,2023-05-19,06:00:00 a 11:59:59,739825162.5,06:00:00
2023-05-19 12:00:00,2023-05-19,12:00:00 a 17:59:59,845863089.5,12:00:00
2023-05-19 18:00:00,2023-05-19,18:00:00 a 23:59:59,879214820.33,18:00:00
2023-05-20 00:00:00,2023-05-20,00:00:00 a 05:59:59,622750376.0,00:00:00
2023-05-20 06:00:00,2023-05-20,06:00:00 a 11:59:59,894593793.0,06:00:00
2023-05-20 12:00:00,2023-05-20,12:00:00 a 17:59:59,892707007.0,12:00:00
2023-05-20 18:00:00,2023-05-20,18:00:00 a 23:59:59,863556568.0,18:00:00
2023-05-21 00:00:00,2023-05-21,00:00:00 a 05:59:59,908565461.0,00:00:00
2023-05-21 06:00:00,2023-05-21,06:00:00 a 11:59:59,891098465.67,06:00:00
2023-05-21 12:00:00,2023-05-21,12:00:00 a 17:59:59,905891730.5,12:00:00
2023-05-21 18:00:00,2023-05-21,18:00:00 a 23:59:59,858104829.0,18:00:00
2023-05-22 00:00:00,2023-05-22,00:00:00 a 05:59:59,783899291.67,00:00:00
2023-05-22 06:00:00,2023-05-22,06:00:00 a 11:59:59,926625869.0,06:00:00
2023-05-22 12:00:00,2023-05-22,12:00:00 a 17:59:59,883847494.0,12:00:00
2023-05-22 18:00:00,2023-05-22,18:00:00 a 23:59:59,790154918.0,18:00:00
2023-05-23 00:00:00,2023-05-23,00:00:00 a 05:59:59,898132053.5,00:00:00
2023-05-23 06:00:00,2023-05-23,06:00:00 a 11:59:59,824418685.5,06:00:00
2023-05-23 12:00:00,2023-05-23,12:00:00 a 17:59:59,913152884.5,12:00:00
2023-05-23 18:00:00,2023-05-23,18:00:00 a 23:59:59,905368410.5,18:00:00
2023-05-24 00:00:00,2023-05-24,00:00:00 a 05:59:59,875614657.0,00:00:00
2023-05-24 06:00:00,2023-05-24,06:00:00 a 11:59:59,776209303.5,06:00:00
2023-05-24 12:00:00,2023-05-24,12:00:00 a 17:59:59,904163080.5,12:00:00
2023-05-24 18:00:00,2023-05-24,18:00:00 a 23:59:59,886100614.0,18:00:00
2023-06-01 00:00:00,2023-06-01,00:00:00 a 05:59:59,853057801.2850375,00:00:00
2023-06-01 06:00:00,2023-06-01,06:00:00 a 11:59:59,858147484.4885123,06:00:00
2023-06-01 12:00:00,2023-06-01,12:00:00 a 17:59:59,823135699.0,12:00:00
2023-06-01 18:00:00,2023-06-01,18:00:00 a 23:59:59,900468260.0,18:00:00
2023-06-02 00:00:00,2023-06-02,00:00:00 a 05:59:59,755761758.5,00:00:00
2023-06-02 06:00:00,2023-06-02,06:00:00 a 11:59:59,710410260.0,06:00:00
2023-06-02 12:00:00,2023-06-02,12:00:00 a 17:59:59,840434588.0,12:00:00
2023-06-02 18:00:00,2023-06-02,18:00:00 a 23:59:59,797445277.0,18:00:00
2023-06-03 00:00:00,2023-06-03,00:00:00 a 05:59:59,888405636.5,00:00:00
2023-06-03 06:00:00,2023-06-03,06:00:00 a 11:59:59,844366831.5,06:00:00
2023-06-03 12:00:00,2023-06-03,12:00:00 a 17:59:59,850920062.0,12:00:00
2023-06-03 18:00:00,2023-06-03,18:00:00 a 23:59:59,809370655.5,18:00:00
2023-06-04 00:00:00,2023-06-04,00:00:00 a 05:59:59,862466204.6132044,00:00:00
2023-06-04 06:00:00,2023-06-04,06:00:00 a 11:59:59,862280135.67,06:00:00
2023-06-04 12:00:00,2023-06-04,12:00:00 a 17:59:59,870494811.67,12:00:00
2023-06-04 18:00:00,2023-06-04,18:00:00 a 23:59:59,787743960.5,18:00:00
2023-06-05 00:00:00,2023-06-05,00:00:00 a 05:59:59,819987210.0,00:00:00
2023-06-05 06:00:00,2023-06-05,06:00:00 a 11:59:59,877659448.0,06:00:00
2023-06-05 12:00:00,2023-06-05,12:00:00 a 17:59:59,905450599.0,12:00:00
2023-06-05 18:00:00,2023-06-05,18:00:00 a 23:59:59,880019343.5,18:00:00
2023-06-06 00:00:00,2023-06-06,00:00:00 a 05:59:59,789579201.5,00:00:00
2023-06-06 06:00:00,2023-06-06,06:00:00 a 11:59:59,744491622.0,06:00:00
2023-06-06 12:00:00,2023-06-06,12:00:00 a 17:59:59,735577854.0,12:00:00
2023-06-06 18:00:00,2023-06-06,18:00:00 a 23:59:59,840173386.5,18:00:00
2023-06-07 00:00:00,2023-06-07,00:00:00 a 05:59:59,881591001.0,00:00:00
2023-06-07 06:00:00,2023-06-07,06:00:00 a 11:59:59,889981073.0,06:00:00
2023-06-07 12:00:00,2023-06-07,12:00:00 a 17:59:59,826542099.5,12:00:00
2023-06-07 18:00:00,2023-06-07,18:00:00 a 23:59:59,811601790.5,18:00:00
2023-06-08 00:00:00,2023-06-08,00:00:00 a 05:59:59,900465699.0,00:00:00
2023-06-08 06:00:00,2023-06-08,06:00:00 a 11:59:59,897845271.5,06:00:00
2023-06-08 12:00:00,2023-06-08,12:00:00 a 17:59:59,853541192.0,12:00:00
2023-06-08 18:00:00,2023-06-08,18:00:00 a 23:59:59,823920031.5,18:00:00
2023-06-09 00:00:00,2023-06-09,00:00:00 a 05:59:59,877135222.0,00:00:00
2023-06-09 06:00:00,2023-06-09,06:00:00 a 11:59:59,905445987.0,06:00:00
2023-06-09 12:00:00,2023-06-09,12:00:00 a 17:59:59,818678537.0,12:00:00
2023-06-09 18:00:00,2023-06-09,18:00:00 a 23:59:59,923272041.0,18:00:00
2023-06-10 00:00:00,2023-06-10,00:00:00 a 05:59:59,886047207.0,00:00:00
2023-06-10 06:00:00,2023-06-10,06:00:00 a 11:59:59,874644948.5,06:00:00
2023-06-10 12:00:00,2023-06-10,12:00:00 a 17:59:59,920125716.0,12:00:00
2023-06-10 18:00:00,2023-06-10,18:00:00 a 23:59:59,876784116.0,18:00:00
2023-06-11 00:00:00,2023-06-11,00:00:00 a 05:59:59,781189876.5,00:00:00
2023-06-11 06:00:00,2023-06-11,06:00:00 a 11:59:59,856690404.0,06:00:00
2023-06-11 12:00:00,2023-06-11,12:00:00 a 17:59:59,906494592.5,12:00:00
2023-06-11 18:00:00,2023-06-11,18:00:00 a 23:59:59,877660675.5,18:00:00
2023-06-12 00:00:00,2023-06-12,00:00:00 a 05:59:59,861404897.0,00:00:00
2023-06-12 06:00:00,2023-06-12,06:00:00 a 11:59:59,882115845.0,06:00:00
2023-06-12 12:00:00,2023-06-12,12:00:00 a 17:59:59,784074773.0,12:00:00
2023-06-12 18:00:00,2023-06-12,18:00:00 a 23:59:59,876609131.0,18:00:00
2023-06-13 00:00:00,2023-06-13,00:00:00 a 05:59:59,871369616.0,00:00:00
2023-06-13 06:00:00,2023-06-13,06:00:00 a 11:59:59,881069067.5,06:00:00
2023-06-13 12:00:00,2023-06-13,12:00:00 a 17:59:59,780929461.0,12:00:00
2023-06-13 18:00:00,2023-06-13,18:00:00 a 23:59:59,906757442.5,18:00:00
2023-06-14 00:00:00,2023-06-14,00:00:00 a 05:59:59,836065969.0,00:00:00
2023-06-14 06:00:00,2023-06-14,06:00:00 a 11:59:59,928517622.0,06:00:00
2023-06-14 12:00:00,2023-06-14,12:00:00 a 17:59:59,820338486.33,12:00:00
2023-06-14 18:00:00,2023-06-14,18:00:00 a 23:59:59,857911923.0,18:00:00
2023-06-15 00:00:00,2023-06-15,00:00:00 a 05:59:59,865075976.5,00:00:00
2023-06-15 06:00:00,2023-06-15,06:00:00 a 11:59:59,882115441.5,06:00:00
2023-06-15 12:00:00,2023-06-15,12:00:00 a 17:59:59,842007403.5,12:00:00
2023-06-15 18:00:00,2023-06-15,18:00:00 a 23:59:59,900727520.5,18:00:00
2023-06-16 00:00:00,2023-06-16,00:00:00 a 05:59:59,882113197.0,00:00:00
2023-06-16 06:00:00,2023-06-16,06:00:00 a 11:59:59,871890346.5,06:00:00
2023-06-16 12:00:00,2023-06-16,12:00:00 a 17:59:59,896015563.0,12:00:00
2023-06-16 18:00:00,2023-06-16,18:00:00 a 23:59:59,875300347.0,18:00:00
2023-06-17 00:00:00,2023-06-17,00:00:00 a 05:59:59,908068470.0,00:00:00
2023-06-17 06:00:00,2023-06-17,06:00:00 a 11:59:59,889458003.5,06:00:00
2023-06-17 12:00:00,2023-06-17,12:00:00 a 17:59:59,915408175.0,12:00:00
2023-06-17 18:00:00,2023-06-17,18:00:00 a 23:59:59,888404285.0,18:00:00
2023-06-18 00:00:00,2023-06-18,00:00:00 a 05:59:59,902825606.0,00:00:00
2023-06-18 06:00:00,2023-06-18,06:00:00 a 11:59:59,886310360.0,06:00:00
2023-06-18 12:00:00,2023-06-18,12:00:00 a 17:59:59,826540928.5,12:00:00
2023-06-18 18:00:00,2023-06-18,18:00:00 a 23:59:59,903087081.5,18:00:00
2023-06-19 00:00:00,2023-06-19,00:00:00 a 05:59:59,896009052.67,00:00:00
2023-06-19 06:00:00,2023-06-19,06:00:00 a 11:59:59,904128895.0,06:00:00
